< a a a a a a a a a a a a a a a a a a a a d >
[ Age    Foreign    Job    Status    History    Housing    Employ_Time    Depends    Balance    Aim    Amount    Duration    Savings    Rate    Guarantee    Residence_Time    Properties    Debits    Accounts    Phone    Granted ]
   25   Yes   Unskilled          Male_Single      Critical     Own    1Less        1   0to200     TV            4746    45   100Less     4   None           2   Finance   None     2   No    No
   31   Yes   Skilled            Male_Single      Critical     Free   1to4         1   None       A46           6110    48   100Less     1   None           3   None      Bank     1   Yes   Yes
   37   Yes   Skilled            Male_Single      Paied        Own    1to4         1   200More    TV            2100    18   100Less     4   Co_Applicant   2   House     Stores   1   No    No
   37   Yes   Skilled            Male_Single      Paied        Own    1to4         1   200More    Electronics   1225    10   100Less     2   None           2   Mobile    None     1   Yes   Yes
   24   Yes   Skilled            Male_Single      Paied        Own    1to4         1   0to200     TV            458     9    100Less     4   None           3   House     None     1   No    Yes
   30   Yes   Highly_Qualified   Male_Single      Paied        Own    7more        1   None       TV            2333    30   500to1000   4   None           2   Mobile    Bank     1   No    Yes
   26   Yes   Skilled            Male_Divorced    Paied        Own    1to4         1   0to200     TV            1158    12   500to1000   3   None           1   Mobile    None     1   Yes   Yes
   44   Yes   Unskilled          Male_Single      Delays       Own    1to4         2   0to200     Repairs       6204    18   100Less     2   None           4   House     None     1   Yes   Yes
   24   Yes   Skilled            Male_Married     Critical     Rent   4to7         1   Negative   Used_Car      6187    30   100to500    1   None           4   Mobile    None     2   No    Yes
   58   Yes   Unskilled          Female_Married   Critical     Free   7more        1   Negative   Used_Car      6143    48   100Less     4   None           4   None      Stores   2   No    No
   35   Yes   Highly_Qualified   Female_Married   Critical     Own    1Less        1   None       New_Car       1393    11   100Less     4   None           4   Mobile    None     2   No    Yes
   39   Yes   Skilled            Male_Single      Paied        Own    7more        1   None       TV            2299    36   500to1000   4   None           4   Mobile    None     1   No    Yes
   23   Yes   Unemployed         Female_Married   Paied        Rent   Unemployed   1   Negative   Used_Car      1352    6    500to1000   1   None           2   Finance   None     1   Yes   Yes
   39   Yes   Unskilled          Male_Single      Critical     Own    1to4         1   None       New_Car       7228    11   100Less     1   None           4   Finance   None     2   No    Yes
   28   Yes   Skilled            Female_Married   Paied        Own    1to4         1   None       TV            2073    12   100to500    4   Co_Applicant   2   House     None     1   No    Yes
   29   Yes   Unskilled          Male_Single      Delays       Own    1Less        1   0to200     Furniture     2333    24   None        4   None           2   Finance   Bank     1   No    Yes
   30   Yes   Highly_Qualified   Male_Single      Delays       Own    7more        1   0to200     Used_Car      5965    27   100Less     1   None           2   Mobile    None     2   Yes   Yes
   25   Yes   Skilled            Male_Single      Paied        Own    1to4         1   None       TV            1262    12   100Less     3   None           2   Mobile    None     1   No    Yes
   31   Yes   Skilled            Male_Single      Paied        Own    1to4         1   None       Used_Car      3378    18   None        2   None           1   Finance   None     1   Yes   Yes
   57   Yes   Skilled            Male_Single      Delays       Free   7more        1   0to200     New_Car       2225    36   100Less     4   None           4   None      Bank     2   Yes   No
   26   Yes   Unskilled          Male_Single      All_Paied    Own    1to4         2   None       New_Car       783     6    None        1   Guarantor      2   House     Stores   1   No    Yes
   52   Yes   Highly_Qualified   Male_Single      Paied        Own    Unemployed   1   0to200     TV            6468    12   None        2   None           1   None      None     1   Yes   No
   31   Yes   Skilled            Female_Married   Critical     Own    1to4         1   None       TV            9566    36   100Less     2   None           2   Mobile    Stores   2   No    Yes
   23   Yes   Highly_Qualified   Female_Married   Paied        Own    7more        1   200More    New_Car       1961    18   100Less     3   None           2   Mobile    None     1   No    Yes
   23   Yes   Unskilled          Female_Married   Critical     Rent   1Less        1   Negative   Furniture     6229    36   100Less     4   Co_Applicant   4   None      None     2   Yes   No
   27   Yes   Skilled            Male_Married     Paied        Own    1to4         1   0to200     Business      1391    9    100Less     2   None           1   House     Bank     1   Yes   Yes
   50   Yes   Skilled            Male_Single      Critical     Own    7more        1   0to200     TV            1537    15   None        4   Guarantor      4   House     None     2   Yes   Yes
   61   Yes   Highly_Qualified   Male_Single      No_Credits   Free   7more        1   0to200     Business      1953    36   100Less     4   None           4   None      None     1   Yes   No
   25   Yes   Skilled            Male_Single      No_Credits   Own    1to4         1   0to200     Business      14421   48   100Less     2   None           2   Mobile    None     1   Yes   No
   26   Yes   Skilled            Female_Married   Paied        Own    1Less        1   None       TV            3181    24   100Less     4   None           4   Finance   None     1   Yes   Yes
   48   Yes   Skilled            Male_Single      Paied        Own    7more        2   None       Repairs       5190    27   None        4   None           4   Finance   None     4   Yes   Yes
   29   Yes   Skilled            Female_Married   Paied        Own    1Less        1   None       TV            2171    12   100Less     2   None           2   Mobile    Bank     1   No    Yes
   22   Yes   Skilled            Male_Married     Paied        Own    1to4         1   0to200     New_Car       1007    12   1000More    4   None           1   House     None     1   No    Yes
   37   Yes   Skilled            Male_Single      Paied        Free   1to4         1   None       A46           1819    36   100Less     4   None           4   None      Stores   1   Yes   No
   25   Yes   Skilled            Female_Married   Paied        Own    1to4         1   None       TV            2394    36   None        4   None           4   Mobile    None     1   No    Yes
   30   Yes   Skilled            Female_Married   Paied        Own    1to4         1   None       Used_Car      8133    36   100Less     1   None           2   Finance   Bank     1   No    Yes
   46   Yes   Unskilled          Male_Single      Critical     Rent   7more        1   None       TV            730     7    None        4   None           2   Finance   None     2   Yes   Yes
   51   Yes   Highly_Qualified   Male_Single      Critical     Free   7more        2   Negative   Others        1164    8    100Less     3   None           4   None      Bank     2   Yes   Yes
   41   Yes   Unskilled          Female_Married   Critical     Own    4to7         1   0to200     Business      5954    42   100Less     2   None           1   House     Bank     2   No    Yes
   40   Yes   Highly_Qualified   Male_Single      Paied        Own    7more        1   Negative   A46           1977    36   None        4   None           4   None      None     1   Yes   No
   66   Yes   Highly_Qualified   Male_Single      Critical     Free   7more        1   Negative   Used_Car      1526    12   100Less     4   None           4   None      None     2   No    Yes
   34   Yes   Skilled            Male_Single      Paied        Own    1Less        1   Negative   TV            3965    42   100Less     4   None           3   Mobile    None     1   No    No
   51   Yes   Skilled            Male_Single      Delays       Own    4to7         1   0to200     TV            4771    11   100Less     2   None           4   Finance   None     1   No    Yes
   39   Yes   Unskilled          Male_Single      No_Credits   Own    1to4         2   None       Used_Car      9436    54   None        2   None           2   Finance   None     1   No    Yes
   22   Yes   Skilled            Male_Married     Paied        Own    1Less        1   0to200     Furniture     3832    30   100Less     2   None           1   Finance   None     1   No    Yes
   44   Yes   Skilled            Female_Married   Paied        Own    1Less        1   None       TV            5943    24   None        1   None           1   Mobile    None     2   Yes   No
   47   Yes   Skilled            Male_Single      Paied        Own    7more        1   None       TV            1213    15   500to1000   4   None           3   Finance   Stores   1   Yes   Yes
   24   Yes   Unskilled          Female_Married   Paied        Rent   1to4         1   None       Business      1568    18   100to500    3   None           4   Finance   None     1   No    Yes
   58   Yes   Unskilled          Female_Married   Paied        Own    7more        1   Negative   Others        1755    24   100Less     4   Guarantor      4   House     None     1   Yes   Yes
   52   Yes   Unskilled          Male_Single      Paied        Own    7more        1   Negative   TV            2315    10   100Less     3   None           4   House     None     1   No    Yes
   29   Yes   Highly_Qualified   Female_Married   Critical     Own    1to4         1   None       Business      1412    12   100Less     4   Guarantor      2   House     None     2   Yes   Yes
   27   Yes   Skilled            Female_Married   Critical     Own    1Less        1   0to200     Furniture     1295    18   100Less     4   None           1   Finance   None     2   No    Yes
   47   Yes   Skilled            Male_Single      Paied        Free   1to4         2   0to200     A46           12612   36   100to500    1   None           4   None      None     1   Yes   No
   30   Yes   Highly_Qualified   Male_Single      Paied        Own    4to7         2   Negative   New_Car       2249    18   100to500    4   None           3   Mobile    None     1   Yes   Yes
   28   Yes   Skilled            Male_Single      No_Credits   Own    4to7         1   Negative   Repairs       1108    12   100Less     4   None           3   House     None     2   No    No
   56   Yes   Skilled            Male_Single      Critical     Own    7more        1   None       TV            618     12   100Less     4   None           4   House     None     1   No    Yes
   54   Yes   Skilled            Male_Single      Critical     Own    7more        1   Negative   Used_Car      1409    12   100Less     4   None           3   House     None     1   No    Yes
   33   Yes   Unskilled          Female_Married   Critical     Own    7more        2   None       TV            797     12   None        4   None           3   Finance   Bank     1   No    No
   20   Yes   Skilled            Male_Single      Critical     Rent   7more        1   200More    Furniture     3617    24   None        4   Co_Applicant   4   None      None     2   No    Yes
   54   Yes   Skilled            Male_Single      Paied        Own    7more        1   0to200     New_Car       1318    12   1000More    4   None           4   House     None     1   Yes   Yes
   58   Yes   Skilled            Male_Single      No_Credits   Rent   1Less        1   0to200     Business      15945   54   100Less     3   None           4   None      None     1   Yes   No
   61   Yes   Skilled            Female_Married   Critical     Own    4to7         1   None       A46           2012    12   None        4   None           2   Mobile    None     1   No    Yes
   34   Yes   Skilled            Male_Single      Paied        Own    1to4         1   0to200     Business      2622    18   100to500    4   None           4   Mobile    None     1   No    Yes
   36   Yes   Skilled            Male_Single      Critical     Own    7more        1   0to200     TV            2337    36   100Less     4   None           4   House     None     1   No    Yes
   36   Yes   Highly_Qualified   Male_Single      Delays       Rent   4to7         2   0to200     Used_Car      7057    20   None        3   None           4   Finance   Bank     2   Yes   Yes
   41   Yes   Unskilled          Male_Married     Paied        Rent   7more        1   None       New_Car       1469    24   100to500    4   None           4   House     None     1   No    Yes
   24   Yes   Skilled            Male_Single      Paied        Rent   4to7         1   0to200     TV            2323    36   100Less     4   None           4   Mobile    None     1   No    Yes
   24   Yes   Skilled            Female_Married   Delays       Own    1to4         1   None       TV            932     6    100Less     3   None           2   House     None     1   No    Yes
   35   Yes   Skilled            Male_Single      Critical     Rent   4to7         1   0to200     Furniture     1919    9    100Less     4   None           3   Mobile    None     1   Yes   Yes
   26   Yes   Skilled            Male_Married     Paied        Rent   1Less        1   None       Used_Car      2445    12   None        2   None           4   Mobile    None     1   Yes   Yes
   39   Yes   Highly_Qualified   Male_Single      Critical     Own    1to4         2   0to200     Others        11938   24   100Less     2   Co_Applicant   3   Mobile    None     2   Yes   No
   39   Yes   Highly_Qualified   Male_Single      All_Paied    Own    7more        2   None       New_Car       6458    18   100Less     2   None           4   None      Bank     2   Yes   No
   32   Yes   Skilled            Male_Single      Paied        Own    4to7         1   0to200     New_Car       6078    12   100Less     2   None           2   Mobile    None     1   No    Yes
   30   No    Skilled            Female_Married   Paied        Own    1Less        1   Negative   Furniture     7721    24   None        1   None           2   Finance   None     1   Yes   Yes
   35   Yes   Skilled            Male_Married     Paied        Own    7more        1   0to200     Business      1410    14   500to1000   1   None           2   House     None     1   Yes   Yes
   31   Yes   Skilled            Male_Divorced    Delays       Own    7more        2   0to200     Business      1449    6    100to500    1   None           2   Mobile    Bank     2   No    Yes
   23   Yes   Skilled            Female_Married   Paied        Rent   1Less        1   200More    A46           392     15   100Less     4   None           4   Finance   None     1   Yes   Yes
   28   Yes   Unskilled          Male_Single      Paied        Rent   4to7         1   0to200     New_Car       6260    18   100Less     3   None           3   House     None     1   No    Yes
   25   Yes   Skilled            Female_Married   Critical     Own    1to4         1   None       New_Car       7855    36   100Less     4   None           2   House     Stores   2   Yes   No
   35   Yes   Skilled            Male_Married     Paied        Own    7more        1   Negative   TV            1680    12   500to1000   3   None           1   House     None     1   No    Yes
   47   Yes   Skilled            Male_Single      Critical     Own    7more        1   None       TV            3578    48   None        4   None           1   House     None     1   Yes   Yes
   30   Yes   Highly_Qualified   Female_Married   Paied        Own    4to7         1   Negative   TV            7174    42   None        4   None           3   Mobile    None     1   Yes   No
   27   No    Skilled            Female_Married   Critical     Rent   1Less        1   Negative   Furniture     2132    10   None        2   Co_Applicant   3   House     None     2   No    Yes
   23   Yes   Skilled            Female_Married   Critical     Own    1to4         1   Negative   Furniture     4281    33   500to1000   1   None           4   Mobile    None     2   No    No
   36   Yes   Highly_Qualified   Male_Divorced    Critical     Own    4to7         1   0to200     New_Car       2366    12   500to1000   3   None           3   Mobile    None     1   Yes   Yes
   25   Yes   Skilled            Female_Married   Paied        Own    1to4         1   Negative   TV            1835    21   100Less     3   None           2   House     None     2   Yes   No
   41   Yes   Highly_Qualified   Female_Married   Critical     Rent   7more        1   None       Used_Car      3868    24   100Less     4   None           2   Mobile    None     2   Yes   Yes
   24   Yes   Unskilled          Male_Single      Paied        Rent   1to4         1   None       Furniture     1768    12   100Less     3   None           2   House     None     1   No    Yes
   63   Yes   Skilled            Male_Single      Critical     Free   7more        1   200More    New_Car       781     10   100Less     4   None           4   None      None     2   Yes   Yes
   27   Yes   Skilled            Female_Married   Paied        Rent   1Less        1   0to200     Furniture     1924    18   None        4   None           3   House     None     1   No    No
   30   Yes   Skilled            Male_Single      Critical     Own    1to4         1   Negative   New_Car       2121    12   100Less     4   None           2   Finance   None     2   No    Yes
   40   Yes   Unskilled          Male_Married     Paied        Own    1to4         1   Negative   TV            701     12   100Less     4   None           2   House     None     1   No    Yes
   30   Yes   Skilled            Male_Single      Paied        Own    1to4         1   0to200     Repairs       639     12   100Less     4   None           2   Mobile    None     1   No    No
   34   Yes   Highly_Qualified   Male_Single      Critical     Own    Unemployed   1   0to200     Used_Car      1860    12   100Less     4   None           2   Mobile    None     2   Yes   Yes
   29   Yes   Skilled            Female_Married   Critical     Own    1to4         1   Negative   New_Car       3499    12   100Less     3   Co_Applicant   2   House     None     2   No    No
   24   Yes   Skilled            Female_Married   Paied        Own    4to7         1   0to200     New_Car       8487    48   None        1   None           2   Mobile    None     1   No    Yes
   29   Yes   Skilled            Male_Single      Delays       Own    1to4         1   Negative   A46           6887    36   100Less     4   None           3   Finance   Stores   1   Yes   No
   27   Yes   Unskilled          Male_Single      Paied        Own    1Less        1   None       Furniture     2708    15   100Less     2   None           3   Finance   Bank     2   No    Yes
   47   Yes   Skilled            Male_Single      Paied        Free   1to4         1   None       Furniture     1984    18   100Less     4   None           4   None      Bank     2   No    Yes
   21   Yes   Skilled            Female_Married   Paied        Own    4to7         1   None       TV            10144   60   100to500    2   None           4   House     None     1   Yes   Yes
   38   Yes   Skilled            Female_Married   Critical     Own    7more        1   None       TV            1240    12   None        4   None           2   House     None     2   Yes   Yes
   27   Yes   Skilled            Male_Single      Delays       Own    1to4         1   None       Used_Car      8613    27   1000More    2   None           2   Mobile    None     2   No    Yes
   66   Yes   Unskilled          Male_Single      Paied        Own    1to4         1   0to200     TV            766     12   500to1000   4   None           3   House     None     1   No    No
   35   Yes   Skilled            Male_Single      Critical     Own    4to7         1   0to200     TV            2728    15   None        4   Guarantor      2   House     Bank     3   Yes   Yes
   44   Yes   Unskilled          Female_Married   Paied        Rent   1to4         1   200More    TV            1881    12   100Less     2   None           2   Mobile    None     1   Yes   Yes
   27   No    Unemployed         Male_Married     Paied        Own    1Less        1   200More    New_Car       709     6    1000More    2   None           2   House     None     1   No    Yes
   30   Yes   Highly_Qualified   Female_Married   Paied        Own    1Less        1   0to200     TV            4795    36   100Less     4   None           1   None      None     1   Yes   Yes
   27   Yes   Highly_Qualified   Male_Single      Paied        Own    1to4         1   Negative   TV            3416    27   100Less     3   None           2   Mobile    None     1   No    Yes
   22   Yes   Skilled            Male_Single      Paied        Own    1to4         1   Negative   Furniture     2462    18   100Less     2   None           2   Mobile    None     1   No    No
   23   Yes   Skilled            Female_Married   Critical     Own    1Less        1   None       Furniture     2288    21   100Less     4   None           4   Finance   None     1   Yes   Yes
   30   Yes   Skilled            Male_Single      All_Paied    Own    4to7         1   0to200     Business      3566    48   100to500    4   None           2   Mobile    None     1   No    Yes
   39   Yes   Skilled            Female_Married   Critical     Own    7more        1   Negative   New_Car       860     6    100Less     1   None           4   None      None     2   Yes   Yes
   51   Yes   Skilled            Female_Married   Critical     Own    4to7         1   None       New_Car       682     12   100to500    4   None           3   Mobile    None     2   Yes   Yes
   28   Yes   Skilled            Male_Single      Critical     Own    1to4         1   Negative   Furniture     5371    36   100Less     3   Guarantor      2   Finance   None     2   No    Yes
   46   Yes   Skilled            Male_Single      Critical     Own    7more        1   None       TV            1582    18   1000More    4   None           4   Mobile    None     2   No    Yes
   42   Yes   Skilled            Male_Single      Paied        Free   7more        2   None       TV            1346    6    100to500    2   None           4   None      Bank     1   Yes   Yes
   38   No    Skilled            Male_Single      Paied        Own    1to4         1   None       TV            1924    10   100Less     1   None           4   Finance   None     1   Yes   Yes
   24   Yes   Skilled            Male_Single      Paied        Own    1to4         1   200More    TV            5848    36   100Less     4   None           1   Mobile    None     1   No    Yes
   29   Yes   Skilled            Female_Married   Critical     Rent   7more        1   0to200     Used_Car      7758    24   1000More    2   None           4   None      None     1   No    Yes
   36   Yes   Highly_Qualified   Male_Single      Delays       Rent   4to7         1   0to200     Business      6967    24   100to500    4   None           4   Mobile    None     1   Yes   Yes
   20   Yes   Skilled            Female_Married   Paied        Rent   1to4         1   Negative   Furniture     1282    12   100Less     2   None           4   Mobile    None     1   No    No
   48   No    Skilled            Male_Single      Critical     Own    7more        2   Negative   Repairs       1288    9    100to500    3   Guarantor      4   House     None     2   No    Yes
   45   Yes   Unskilled          Male_Married     All_Paied    Own    7more        1   Negative   Education     339     12   100Less     4   None           1   Mobile    Bank     1   No    Yes
   38   Yes   Skilled            Male_Single      Paied        Own    4to7         1   0to200     New_Car       3512    24   100to500    2   None           3   Mobile    Bank     2   Yes   Yes
   34   Yes   Unskilled          Male_Single      Critical     Own    1to4         2   None       TV            1898    6    None        1   None           2   House     None     2   No    Yes
   36   Yes   Skilled            Male_Single      Critical     Own    7more        2   None       TV            2872    24   100to500    3   None           4   House     None     1   Yes   Yes
   30   Yes   Skilled            Female_Married   Critical     Own    1Less        1   None       New_Car       1055    18   100Less     4   None           1   Finance   None     2   No    Yes
   36   Yes   Skilled            Male_Single      Paied        Own    4to7         1   None       Electronics   1262    15   500to1000   4   None           3   Finance   None     2   Yes   Yes
   70   Yes   Highly_Qualified   Male_Single      Paied        Free   Unemployed   1   0to200     New_Car       7308    10   100Less     2   None           4   None      Bank     1   Yes   Yes
   36   Yes   Skilled            Male_Single      Paied        Own    7more        1   None       New_Car       909     36   500to1000   4   None           4   Finance   None     1   No    Yes
   32   Yes   Skilled            Male_Single      Paied        Own    1to4         1   None       Furniture     2978    6    500to1000   1   None           2   Mobile    None     1   Yes   Yes
   33   Yes   Skilled            Female_Married   Paied        Own    Unemployed   1   Negative   Furniture     1131    18   100Less     4   None           2   Mobile    None     1   No    No
   20   Yes   Skilled            Female_Married   Paied        Own    1Less        1   0to200     Furniture     1577    11   1000More    4   None           1   House     None     1   No    Yes
   25   Yes   Skilled            Female_Married   Paied        Rent   4to7         1   None       Furniture     3972    24   100Less     2   None           4   Finance   None     1   Yes   Yes
   31   Yes   Skilled            Male_Divorced    Critical     Own    7more        1   0to200     Business      1935    24   100Less     4   None           4   House     None     2   Yes   No
   33   Yes   Skilled            Male_Single      No_Credits   Rent   7more        2   Negative   New_Car       950     15   100Less     4   None           3   Mobile    None     2   No    No
   26   Yes   Skilled            Female_Married   Paied        Own    1to4         1   None       Furniture     763     12   100Less     4   None           1   House     None     1   Yes   Yes
   34   Yes   Highly_Qualified   Female_Married   Delays       Own    Unemployed   1   0to200     Furniture     2064    24   100Less     3   None           2   Finance   None     1   Yes   No
   33   No    Skilled            Male_Single      Paied        Own    1to4         1   0to200     TV            1414    8    100Less     4   Guarantor      2   House     None     1   No    Yes
   26   Yes   Skilled            Male_Single      Delays       Own    1Less        1   Negative   A46           3414    21   100Less     2   None           1   Finance   None     2   No    No
   53   Yes   Highly_Qualified   Female_Married   All_Paied    Own    Unemployed   1   None       Used_Car      7485    30   None        4   None           1   House     Bank     1   Yes   No
   42   Yes   Skilled            Male_Divorced    Paied        Own    1to4         1   Negative   Furniture     2577    12   100Less     2   None           1   Mobile    None     1   No    Yes
   52   Yes   Skilled            Male_Single      Critical     Own    7more        1   Negative   TV            338     6    500to1000   4   None           4   Mobile    None     2   No    Yes
   31   Yes   Highly_Qualified   Male_Single      Paied        Rent   4to7         2   None       TV            1963    12   100Less     4   None           2   Mobile    None     2   Yes   Yes
   65   Yes   Skilled            Male_Single      Critical     Own    7more        1   Negative   New_Car       571     21   100Less     4   None           4   House     None     2   No    Yes
   28   Yes   Skilled            Male_Divorced    Delays       Own    1Less        1   None       Business      9572    36   100Less     1   None           1   Mobile    None     2   No    No
   30   Yes   Highly_Qualified   Male_Divorced    Delays       Own    1to4         1   0to200     Business      4455    36   100Less     2   None           2   House     Stores   2   Yes   No
   40   Yes   Unskilled          Male_Single      All_Paied    Own    1to4         2   Negative   New_Car       1647    21   None        4   None           2   Finance   None     2   No    No
   50   Yes   Skilled            Male_Single      Critical     Own    1to4         1   None       Furniture     3777    24   1000More    4   None           4   House     None     1   Yes   Yes
   36   Yes   Skilled            Male_Single      Critical     Own    7more        2   0to200     New_Car       884     18   100Less     4   None           4   Mobile    Bank     1   Yes   No
   31   Yes   Skilled            Male_Single      Critical     Own    1to4         1   None       TV            1360    15   100Less     4   None           2   Finance   None     2   No    Yes
   74   Yes   Highly_Qualified   Female_Married   All_Paied    Free   7more        2   0to200     Used_Car      5129    9    100Less     2   None           4   None      Bank     1   Yes   No
   68   Yes   Unemployed         Male_Single      Critical     Free   Unemployed   1   0to200     New_Car       1175    16   100Less     2   None           3   Mobile    None     3   Yes   Yes
   20   Yes   Skilled            Male_Married     Paied        Own    4to7         1   Negative   TV            674     12   100to500    4   None           1   Finance   None     1   No    No
   33   Yes   Skilled            Female_Married   No_Credits   Own    1to4         1   0to200     Furniture     3244    18   100Less     1   None           4   Mobile    Bank     2   Yes   Yes
   54   Yes   Highly_Qualified   Male_Single      Paied        Own    1to4         1   None       Business      4591    24   1000More    2   None           3   Finance   None     3   Yes   No
   34   Yes   Unskilled          Male_Single      No_Credits   Free   4to7         2   0to200     Business      3844    48   100to500    4   None           4   None      None     1   No    No
   36   Yes   Skilled            Male_Single      Paied        Own    1to4         2   0to200     Business      3915    27   100Less     4   None           2   Mobile    None     1   Yes   No
   29   Yes   Skilled            Male_Married     Paied        Rent   4to7         1   None       TV            2108    6    100Less     2   None           2   House     None     1   No    Yes
   21   Yes   Skilled            Male_Single      Paied        Rent   1to4         1   0to200     TV            3031    45   100to500    4   Guarantor      4   Finance   None     1   No    No
   34   Yes   Highly_Qualified   Female_Married   Critical     Own    7more        1   0to200     A46           1501    9    100Less     2   None           3   Mobile    None     2   Yes   No
   28   Yes   Skilled            Female_Married   Critical     Own    1to4         1   None       TV            1382    6    100Less     1   None           1   Mobile    None     2   Yes   Yes
   27   Yes   Skilled            Female_Married   Paied        Rent   1Less        1   0to200     Furniture     951     12   100to500    4   None           4   Mobile    Bank     4   No    No
   36   Yes   Skilled            Male_Single      Paied        Free   7more        1   0to200     Used_Car      2760    24   None        4   None           4   None      Bank     1   Yes   Yes
   40   Yes   Highly_Qualified   Male_Divorced    Delays       Own    7more        1   0to200     Furniture     4297    18   100Less     4   None           3   None      None     1   Yes   No
